location,lat,lon,order_count
Manhattan,40.7831,-73.9712,34665
Queens,40.7282,-73.7949,15025
Brooklyn,40.6782,-73.9442,6834
Bronx,40.8448,-73.8648,505
Staten Island,40.5795,-74.1502,9
