cohort_week,0,1,2,3,4,5
2022-12-26,1.0,0.8325358851674641,0.8492822966507177,0.8277511961722488,0.8444976076555024,0.6507177033492823
2023-01-02,1.0,0.5611854684512428,0.5305927342256214,0.5516252390057361,0.28680688336520077,
2023-01-09,1.0,0.23,0.274,0.086,,
2023-01-16,1.0,0.1832797427652733,0.06430868167202572,,,
2023-01-23,1.0,0.030201342281879196,,,,
2023-01-30,1.0,,,,,
